index	#1 Label	#2 ImageID	#3 String	#3 String.1
37	2	The image features a person posing at the BBC Radio 1 Teen Awards. The individual is wearing a green dress adorned with intricate embellishments, exuding elegance and confidence. The background is filled with logos and text related to the event, creating a festive and celebratory atmosphere.	RT @ Swiftwriting : $T$ looking absolutely flawless at the BBC Teen Awards .	Taylor
38	1	The image features a person posing at the BBC Radio 1 Teen Awards. The individual is wearing a green dress adorned with intricate embellishments, exuding elegance and confidence. The background is filled with logos and text related to the event, creating a festive and celebratory atmosphere.	RT @ Swiftwriting : Taylor looking absolutely flawless at the $T$ .	BBC Teen Awards
39	1	The image captures a lively scene in a rural area. A man rides a bicycle, exuding confidence and joy. Children in the background, some holding toys, appear curious and engaged, with expressions of wonder and excitement. The setting, with its rustic stone walls and simple structures, conveys a sense of community and simplicity.	@ Louis Garneau Join I Am Able : a handicap cycling team that originated in $T$ .	Rwanda
40	1	The image shows two men in suits engaged in a conversation outdoors. The man on the left is gesturing with his hands, possibly explaining something, while the man on the right is listening attentively. The setting appears to be a park or garden with trees and a fountain in the background. The text at the bottom indicates that Jens Stoltenberg was appointed NATO Secretary General as of October 1, 2014.	RT @ NATO : $T$ appoints @ jensstoltenberg as # NATO SG as of October 1st 2014	North Atlantic Council
41	1	The image shows two men in suits engaged in a conversation outdoors. The man on the left is gesturing with his hands, possibly explaining something, while the man on the right is listening attentively. The setting appears to be a park or garden with trees and a fountain in the background. The text at the bottom indicates that Jens Stoltenberg was appointed NATO Secretary General as of October 1, 2014.	RT @ NATO : North Atlantic Council appoints @ jensstoltenberg as $T$ SG as of October 1st 2014	# NATO
42	0	"The image features a sign prohibiting drones in Hiroshima City. The sign is in English and Japanese, with a clear prohibition symbol and text stating ""Drones Banned."" The background is a blue wall, and the sign is placed outdoors, suggesting a public area where drone usage is restricted."	RT @ htmgarcia : Drones are banned in $T$ - I expected this could be a gossip # Japan	# Hiroshima Peace Memorial Park
43	1	"The image features a sign prohibiting drones in Hiroshima City. The sign is in English and Japanese, with a clear prohibition symbol and text stating ""Drones Banned."" The background is a blue wall, and the sign is placed outdoors, suggesting a public area where drone usage is restricted."	RT @ htmgarcia : Drones are banned in # Hiroshima Peace Memorial Park - I expected this could be a gossip $T$	# Japan
44	1	"The image displays a table with various columns and rows, likely representing a race or event summary. The columns include ""SWIM,"" ""BIKE,"" ""RUN,"" ""OVERALL,"" ""RANK,"" and ""DIV.POS."" The rows detail specific metrics such as distance, pace, and rank. The table shows a swim distance of 1.2 miles, a bike distance of 56 miles, and a run distance of 13.1 miles. The swim pace is 2:05/100m, and the overall pace is 1:18:26. The rank is 715, and the division position is 60."	Results from @ IronTrac for $T$ @ # Ironman # Raleigh 70 . 3 2014	Christine Allen
45	1	"The image displays a table with various columns and rows, likely representing a race or event summary. The columns include ""SWIM,"" ""BIKE,"" ""RUN,"" ""OVERALL,"" ""RANK,"" and ""DIV.POS."" The rows detail specific metrics such as distance, pace, and rank. The table shows a swim distance of 1.2 miles, a bike distance of 56 miles, and a run distance of 13.1 miles. The swim pace is 2:05/100m, and the overall pace is 1:18:26. The rank is 715, and the division position is 60."	Results from @ IronTrac for Christine Allen @ # Ironman $T$ 70 . 3 2014	# Raleigh
46	1	The image captures three ice hockey players in action, wearing white jerseys with red and blue accents. One player, prominently in the foreground, is wearing a helmet with a cage, holding a hockey stick, and appears to be in motion, possibly skating or preparing to shoot. The other two players are in the background, also in motion, with one of them wearing a helmet with a cage and holding a hockey stick. The players' expressions and body language suggest determination and focus, indicative of a competitive and intense game.	# TBT 2 months ago today this pic was taken during # Sochi2014 final . What was @ SledSweeney13 saying to $T$ ?	Tyler Carron
47	2	"The image is a magazine cover titled ""Family Traveller."" It features a young girl wearing a knitted hat, looking directly at the camera. The cover highlights various travel-related topics such as family holidays, British Isles staycations, Nordic kitchens, cookery for kids, sailing, Marrakech, female pilots, and summer camps. The cover also advertises a chance to win a family holiday to Mauritius and Atlanta worth £12,500. The overall tone is inviting and family-friendly, encouraging readers to explore new destinations and experiences."	Check out the summer issue of @ familytraveller they give you the best tips for a family to discover $T$ in 48h !	Marrakech
48	1	The image features two women. The woman on the left is smiling, wearing a white top with red polka dots, and has her hand on her head, suggesting a relaxed, happy mood. The woman on the right is posing with her hand near her face, wearing a white top, and has a serious, contemplative expression. Both are set against a plain background, focusing attention on their expressions and attire.	RT @ HistoryPixs : $T$ when she was only 16 years old .	Angelina Jolie
49	1	The image depicts a forest floor covered in fallen leaves, twigs, and young green shoots. The scene evokes a sense of renewal and growth, as the new greenery emerges from the decaying organic matter. The earthy tones and natural elements suggest a peaceful, serene environment, inviting contemplation and a connection to nature.	RT @ WildWiseDevon : In the spring , at the end of the day , you should smell like dirt . $T$	Margaret Atwood
50	1	The image shows a webpage for a wildlife tour company in Rwanda. The main focus is on a green van with a roof rack, parked in front of a building. Two people are standing next to the van, smiling and posing for the camera. The van has a sign on the side, and there are backpacks on the ground. The background includes a bird perched on a branch and a photo of a yellow bird in a tree. The overall mood is cheerful and adventurous, with a sense of exploration and nature appreciation.	RT @ MrFox13 : $T$ need to go here with the boys	Defo
51	1	The image depicts a bustling harbor scene with a mix of people and boats. The sky is partly cloudy, suggesting a calm day. People are engaged in various activities, such as walking, standing, and interacting with the boats. The presence of bicycles and a stroller indicates a family-friendly environment. The overall atmosphere is relaxed and leisurely, with a sense of community and enjoyment of the outdoors.	Swan upping : first stop $T$ , Tower Bridge ( Tower and Olympic rings in the background )	Hermitage Warf
52	1	The image depicts a bustling harbor scene with a mix of people and boats. The sky is partly cloudy, suggesting a calm day. People are engaged in various activities, such as walking, standing, and interacting with the boats. The presence of bicycles and a stroller indicates a family-friendly environment. The overall atmosphere is relaxed and leisurely, with a sense of community and enjoyment of the outdoors.	Swan upping : first stop Hermitage Warf , $T$ ( Tower and Olympic rings in the background )	Tower Bridge
53	1	The image depicts a bustling harbor scene with a mix of people and boats. The sky is partly cloudy, suggesting a calm day. People are engaged in various activities, such as walking, standing, and interacting with the boats. The presence of bicycles and a stroller indicates a family-friendly environment. The overall atmosphere is relaxed and leisurely, with a sense of community and enjoyment of the outdoors.	Swan upping : first stop Hermitage Warf , Tower Bridge ( $T$ and Olympic rings in the background )	Tower
54	1	The image depicts a bustling harbor scene with a mix of people and boats. The sky is partly cloudy, suggesting a calm day. People are engaged in various activities, such as walking, standing, and interacting with the boats. The presence of bicycles and a stroller indicates a family-friendly environment. The overall atmosphere is relaxed and leisurely, with a sense of community and enjoyment of the outdoors.	Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and $T$ rings in the background )	Olympic
55	1	The image features a large, snow-covered arena with a prominent Chicago Blackhawks logo on the ice. The logo, featuring a Native American face with a feather, is surrounded by red, white, and blue stripes, evoking a sense of pride and tradition. The snow blankets the arena, suggesting a winter setting, and the empty seats hint at a recent or upcoming game. The overall atmosphere is one of anticipation and the cold, wintry ambiance of a hockey game.	This passes for snow in $T$ # blackhawks # winterclassic	DC
56	1	The image features a large, snow-covered arena with a prominent Chicago Blackhawks logo on the ice. The logo, featuring a Native American face with a feather, is surrounded by red, white, and blue stripes, evoking a sense of pride and tradition. The snow blankets the arena, suggesting a winter setting, and the empty seats hint at a recent or upcoming game. The overall atmosphere is one of anticipation and the cold, wintry ambiance of a hockey game.	This passes for snow in DC $T$ # winterclassic	# blackhawks
57	1	"The image shows a protest sign held up at a demonstration. The sign features three stylized faces with the text ""DON'T SHOOT BLACK WOMEN MATTER."" The faces are diverse in appearance, representing different ethnicities and hairstyles. The sign conveys a message of solidarity and protest against violence against black women. The background is blurred, focusing attention on the sign and the message it carries."	RT @ thinkprogress : $T$ and the invisible plight of black women in the justice system	Sandra Bland
58	1	The image captures a formal event with guests dressed elegantly. A woman in a sparkling, floor-length dress is seen from behind, draped in a pink shawl. The setting includes a bar with bottles and glasses, suggesting a celebratory atmosphere. The guests are engaged in conversation, indicating a lively and social environment. The overall mood is one of sophistication and enjoyment.	RT @ LadyGagaNowNet : $T$ getting a drink at the bar at The Oscars 2014 .	Lady Gaga
59	1	The image captures a formal event with guests dressed elegantly. A woman in a sparkling, floor-length dress is seen from behind, draped in a pink shawl. The setting includes a bar with bottles and glasses, suggesting a celebratory atmosphere. The guests are engaged in conversation, indicating a lively and social environment. The overall mood is one of sophistication and enjoyment.	RT @ LadyGagaNowNet : Lady Gaga getting a drink at $T$ bar at The Oscars 2014 .	the
60	1	The image captures a formal event with guests dressed elegantly. A woman in a sparkling, floor-length dress is seen from behind, draped in a pink shawl. The setting includes a bar with bottles and glasses, suggesting a celebratory atmosphere. The guests are engaged in conversation, indicating a lively and social environment. The overall mood is one of sophistication and enjoyment.	RT @ LadyGagaNowNet : Lady Gaga getting a drink at the bar at $T$ 2014 .	The Oscars
61	2	The image depicts a man standing in a vast, open desert landscape. He is wearing a green shirt, jeans, and a yellow bandana around his neck. His expression is cheerful, with a broad smile, and he appears to be enjoying the sunny, clear day. In the background, there is a red SUV parked on the left side, and the distant mountains and blue sky with fluffy clouds create a serene and expansive atmosphere.	@ BetterCallSaul : Happy birthday , $T$ ! Happy birthday , master !	Vince Gilligan
62	2	The image showcases two distinct architectural styles. On the left, a modern building with a geometric, angular facade evokes a sense of innovation and sharpness. The right side features a sleek, minimalist structure with clean lines and a smooth surface, conveying a feeling of tranquility and simplicity. The contrast between the two highlights the diversity in architectural design and the emotions they can evoke.	$T$ and SDU Campus Kolding have been awarded The International Architecture Award	Moesgaard Museum
63	2	The image showcases two distinct architectural styles. On the left, a modern building with a geometric, angular facade evokes a sense of innovation and sharpness. The right side features a sleek, minimalist structure with clean lines and a smooth surface, conveying a feeling of tranquility and simplicity. The contrast between the two highlights the diversity in architectural design and the emotions they can evoke.	Moesgaard Museum and $T$ have been awarded The International Architecture Award	SDU Campus Kolding
64	1	The image showcases two distinct architectural styles. On the left, a modern building with a geometric, angular facade evokes a sense of innovation and sharpness. The right side features a sleek, minimalist structure with clean lines and a smooth surface, conveying a feeling of tranquility and simplicity. The contrast between the two highlights the diversity in architectural design and the emotions they can evoke.	Moesgaard Museum and SDU Campus Kolding have been awarded $T$	The International Architecture Award
65	1	The image shows a group of dogs in cages, with a large number 5 prominently displayed in the foreground. The dogs appear to be in distress, with some looking sad and others looking scared. The number 5 is white and stands out against the dark background of the cages. The overall mood of the image is one of concern and urgency, as it highlights the plight of these animals.	RT @ AnimalsAsia : Special Report : Dog meat wars : 5 stories that shocked $T$	Vietnam
66	2	The image captures a moment of celebration in a basketball game. A player, with a focused and determined expression, is pointing upwards, possibly indicating a significant play or a victory. Another player, with a supportive gesture, is patting the first player on the back. The background shows an audience, suggesting a live event. The text overlay indicates an achievement unlocked, adding a layer of excitement and accomplishment to the scene.	RT @ Steve OS : $T$ Achievement Unlocked	DeAndre Jordan
67	1	The image features a soccer player wearing a white and green jersey with the Volkswagen logo. The player has a serious expression and is looking directly at the camera. The background is a collage of soccer-related images, suggesting a professional or promotional context.	BREAKING NEWS : $T$ youngster Junior Malanda has died in a car accident , according to BILD .	Wolfsburg
68	0	The image features a soccer player wearing a white and green jersey with the Volkswagen logo. The player has a serious expression and is looking directly at the camera. The background is a collage of soccer-related images, suggesting a professional or promotional context.	BREAKING NEWS : Wolfsburg youngster $T$ has died in a car accident , according to BILD .	Junior Malanda
69	1	The image features a soccer player wearing a white and green jersey with the Volkswagen logo. The player has a serious expression and is looking directly at the camera. The background is a collage of soccer-related images, suggesting a professional or promotional context.	BREAKING NEWS : Wolfsburg youngster Junior Malanda has died in a car accident , according to $T$ .	BILD
70	1	The image depicts a woman dressed in an elegant, Victorian-era outfit, featuring a deep red dress with intricate gold trim and a white lace collar. She is adorned with a feathered hat, earrings, and a corsage, exuding a sense of sophistication and grace. The background includes a plant, adding a touch of nature to the scene.	RT @ zgarrison3 : @ ukghosthunting $T$ According to Herman Klein , it was taken in 1898 : )	The Elixir Of Youth
71	1	The image depicts a woman dressed in an elegant, Victorian-era outfit, featuring a deep red dress with intricate gold trim and a white lace collar. She is adorned with a feathered hat, earrings, and a corsage, exuding a sense of sophistication and grace. The background includes a plant, adding a touch of nature to the scene.	RT @ zgarrison3 : @ ukghosthunting The Elixir Of Youth According to $T$ , it was taken in 1898 : )	Herman Klein
72	1	The image captures a serene and majestic natural scene. The water cascading down the rock face creates a tranquil and calming atmosphere. The vibrant blue pool at the bottom reflects the surrounding colors, adding to the peaceful and picturesque quality of the scene. The rock formations, with their intricate textures and hues, evoke a sense of awe and wonder.	One week to go until our visit to the Australian Embassy in $T$ for morning tea with the Ambassador .	Indonesia
73	2	The image captures a moment of camaraderie and focus among a group of lacrosse players. The players, dressed in white jerseys with red accents and helmets, are on a grass field, likely during a break in a game. Their body language suggests a mix of relaxation and readiness, with one player holding a lacrosse stick, indicating they are prepared for action. The setting appears to be a community or school field, with buildings and trees in the background, adding to the sense of a communal sports environment.	RT @ BobBuckhorn : $T$ opens new lacrosse stadium . Generous donation from Vince Namoli made it happen .	U of Tampa
74	2	The image captures a moment of camaraderie and focus among a group of lacrosse players. The players, dressed in white jerseys with red accents and helmets, are on a grass field, likely during a break in a game. Their body language suggests a mix of relaxation and readiness, with one player holding a lacrosse stick, indicating they are prepared for action. The setting appears to be a community or school field, with buildings and trees in the background, adding to the sense of a communal sports environment.	RT @ BobBuckhorn : U of Tampa opens new lacrosse stadium . Generous donation from $T$ made it happen .	Vince Namoli
75	1	The image depicts a soldier in a camouflage uniform, holding a tattered flag. The soldier appears to be in a field with other military vehicles in the background. The scene suggests a sense of resilience and determination, as the soldier holds the flag, possibly symbolizing their commitment and pride in their cause. The overcast sky adds a somber tone to the image.	@ harunmaruf : Outside # BuloMarer , $T$ commander Gen . Dick Olum finds a souvenir after al # shabab were overwhelmed !	AMISOM
76	1	The image depicts a soldier in a camouflage uniform, holding a tattered flag. The soldier appears to be in a field with other military vehicles in the background. The scene suggests a sense of resilience and determination, as the soldier holds the flag, possibly symbolizing their commitment and pride in their cause. The overcast sky adds a somber tone to the image.	@ harunmaruf : Outside # BuloMarer , AMISOM commander $T$ . Dick Olum finds a souvenir after al # shabab were overwhelmed !	Gen
77	1	The image depicts a soldier in a camouflage uniform, holding a tattered flag. The soldier appears to be in a field with other military vehicles in the background. The scene suggests a sense of resilience and determination, as the soldier holds the flag, possibly symbolizing their commitment and pride in their cause. The overcast sky adds a somber tone to the image.	@ harunmaruf : Outside # BuloMarer , AMISOM commander Gen . $T$ finds a souvenir after al # shabab were overwhelmed !	Dick Olum
78	2	The image depicts a vibrant, colorful scene with illuminated lanterns and a building adorned with intricate patterns. The lanterns cast a warm glow, creating a festive and lively atmosphere. The building's elaborate designs and the starry sky in the background evoke a sense of wonder and enchantment.	RT @ buziosglobalusa : $T$ in # Tokyo Station # HappyHolidays	# Christmas
79	2	The image depicts a vibrant, colorful scene with illuminated lanterns and a building adorned with intricate patterns. The lanterns cast a warm glow, creating a festive and lively atmosphere. The building's elaborate designs and the starry sky in the background evoke a sense of wonder and enchantment.	RT @ buziosglobalusa : # Christmas in $T$ # HappyHolidays	# Tokyo Station
80	0	The image captures a baseball player in mid-pitch, focused and determined. The player's body language conveys intensity and concentration, as he prepares to throw the ball with precision and power. The background, though blurred, suggests a stadium setting, adding to the sense of anticipation and excitement.	So sorry to hear about $T$ and Kris Medlen needing # TommyJohn again . Great pitchers .	Jarrod Parker
81	0	The image captures a baseball player in mid-pitch, focused and determined. The player's body language conveys intensity and concentration, as he prepares to throw the ball with precision and power. The background, though blurred, suggests a stadium setting, adding to the sense of anticipation and excitement.	So sorry to hear about Jarrod Parker and $T$ needing # TommyJohn again . Great pitchers .	Kris Medlen
82	1	"The image shows a basketball player wearing a white jersey with the logo ""LA Clippers"" on it. The player appears to be looking off to the side, possibly reacting to a play or communicating with a teammate. The background includes blurred figures, suggesting a crowd or other players, and the text ""Prime Ticket Clippers"" indicates the broadcast network. The overall mood seems to be one of concentration or anticipation."	RT @ InsideHoops : $T$ update :	DeAndre Jordan
83	2	"The image shows a screen displaying the ""2014 Jewish World Watch I Witness Awards."" The screen features a man holding a handful of stones, with the Intel logo and a Temple Israel logo below him. The text on the screen includes the names of sponsors and award recipients. The overall mood is celebratory and informative, highlighting the achievements and contributions recognized by the awards."	Honored to be here in $T$ @ jworldwatch IWitness Award given to Intel 4 commitment to only use conflict free minerals	LA
